user_id,reward_date,reward_amount
1,2024-05-25,9300
3,2024-10-02,4000
4,2024-08-10,7300
5,2024-03-06,5000
6,2024-03-01,8200
9,2024-08-16,8000
11,2024-01-14,7500
12,2024-12-28,7200
13,2024-11-06,4600
18,2024-07-17,9200
19,2024-06-12,5300
21,2024-08-18,3600
23,2024-04-20,7400
24,2024-05-17,6400
25,2024-06-17,1900
26,2024-10-19,4600
28,2024-07-11,1800
32,2024-03-11,6600
35,2024-12-26,2400
36,2024-10-27,6500
38,2024-02-09,5200
39,2024-09-13,7400
40,2024-06-18,2800
42,2024-07-04,4700
45,2024-04-09,5700
46,2024-09-02,2100
47,2024-05-01,5800
48,2024-07-12,2400
49,2024-07-21,5400
50,2024-03-10,4400
52,2024-10-13,2500
53,2024-12-11,1300
54,2024-11-27,7300
57,2024-02-09,2500
58,2024-03-17,5700
60,2024-05-03,3500
61,2024-05-26,5100
62,2024-04-11,7200
64,2024-05-15,4900
67,2024-02-27,9300
69,2024-02-05,2200
70,2025-01-03,9800
72,2024-03-15,5100
73,2024-01-09,1900
75,2024-09-24,2600
76,2024-09-29,7300
78,2024-02-01,9600
79,2024-05-12,5800
80,2024-02-19,4700
81,2024-11-15,1400
82,2024-08-22,6900
85,2024-04-26,7900
86,2024-05-06,4500
87,2024-09-27,4500
89,2024-11-26,6800
91,2024-02-22,8900
92,2024-09-23,9500
94,2024-07-31,8300
98,2024-06-11,3500
101,2024-01-16,7200
103,2024-04-26,5900
104,2024-07-08,3400
110,2024-02-02,5100
111,2024-04-22,1000
112,2024-03-06,6600
113,2024-12-09,6500
116,2024-11-22,3300
117,2024-10-23,1300
118,2024-03-11,3800
119,2024-11-27,4400
120,2024-07-18,7600
122,2024-11-26,5300
123,2024-05-01,5900
124,2024-02-15,3700
127,2024-10-30,1800
128,2024-11-15,9400
129,2024-01-06,8400
130,2024-07-09,2400
131,2024-06-09,3000
132,2024-03-27,6100
133,2024-02-16,4900
135,2024-12-16,6700
136,2024-05-01,7000
137,2024-07-15,1200
142,2024-04-09,3400
143,2024-07-06,4700
145,2024-04-15,3400
146,2024-01-17,3000
148,2024-07-09,4600
151,2024-12-03,5200
154,2024-06-30,8200
155,2024-12-31,4200
157,2024-09-08,9500
158,2024-10-11,4400
159,2024-03-31,7900
160,2024-09-29,1300
161,2024-05-20,9600
162,2024-08-20,8200
163,2024-08-24,7400
164,2024-07-18,9200
165,2024-02-09,4000
167,2024-05-01,6400
168,2024-03-11,1500
169,2024-01-22,1900
171,2024-09-10,1900
172,2024-01-15,7600
173,2024-07-12,4800
174,2024-04-01,1200
177,2024-09-13,5400
179,2024-12-11,5600
181,2024-05-12,7800
182,2024-02-14,7200
183,2024-12-08,9800
184,2024-11-20,5500
185,2024-04-06,2800
188,2024-07-28,1000
189,2024-07-21,3600
192,2024-12-01,1500
196,2024-05-10,8700
199,2024-11-27,2600
200,2024-10-20,6900
205,2024-08-17,5400
206,2024-01-12,5000
207,2024-02-11,4000
214,2024-03-24,6700
215,2024-09-20,8600
216,2024-04-02,5100
219,2024-08-29,6900
220,2024-11-10,6300
221,2024-09-04,3500
222,2024-08-03,7200
223,2024-02-13,3200
224,2024-05-16,5500
226,2024-04-05,4700
227,2024-12-28,6400
228,2024-05-25,3300
231,2024-10-23,9100
235,2024-03-20,2300
236,2024-09-22,5300
237,2024-04-20,4500
238,2024-01-18,4500
239,2024-08-28,9900
241,2024-12-18,6600
243,2024-12-02,7800
244,2024-05-19,7300
248,2024-12-26,8000
249,2024-12-20,1700
250,2024-11-11,9500
251,2024-04-23,8000
252,2024-05-26,2500
253,2024-11-14,4300
255,2024-03-09,9900
256,2024-07-26,9100
257,2024-12-10,2000
259,2024-08-05,7000
260,2024-02-09,7800
262,2024-12-31,4800
263,2024-02-26,9200
266,2024-09-29,9700
268,2024-09-22,7400
270,2024-04-23,8900
271,2024-10-30,4400
272,2024-10-30,7300
274,2024-12-08,4800
275,2024-07-10,1400
278,2024-08-31,8300
279,2024-09-21,1600
281,2024-11-26,6300
284,2024-02-08,3700
285,2024-08-04,8700
287,2024-06-23,7300
288,2024-07-25,4500
289,2024-04-19,1500
290,2024-08-06,7800
293,2024-10-29,7400
294,2024-05-19,1900
298,2024-03-24,4600
300,2024-02-08,3900
301,2024-01-22,3800
303,2024-07-24,5800
304,2024-08-22,2500
305,2024-09-24,2700
307,2024-07-13,7200
310,2024-04-16,6700
311,2024-06-14,3000
316,2024-09-15,9900
317,2024-06-04,8300
319,2024-03-06,9600
320,2024-04-06,8700
322,2024-09-19,4100
323,2024-09-06,5000
324,2024-04-15,5200
327,2024-07-29,6500
328,2024-08-16,1300
329,2024-06-10,4700
330,2024-04-03,5600
331,2024-05-14,5400
333,2024-01-12,1100
334,2024-02-17,2400
