user_id,signup_date,age,gender,region
1,2024-05-16,26,F,Seoul
2,2024-12-13,53,M,Daegu
3,2024-09-24,23,F,Daegu
4,2024-08-06,41,M,Incheon
5,2024-02-26,43,F,Busan
6,2024-02-26,51,M,Daejeon
7,2024-01-22,18,M,Seoul
8,2024-11-12,40,F,Busan
9,2024-08-07,34,F,Daejeon
10,2024-09-15,53,M,Seoul
11,2024-01-08,54,M,Seoul
12,2024-12-20,62,M,Daejeon
13,2024-10-30,37,M,Daejeon
14,2024-03-18,43,F,Busan
15,2024-03-07,28,F,Daegu
16,2024-03-07,37,M,Seoul
17,2024-04-21,18,F,Daegu
18,2024-07-10,61,M,Busan
19,2024-06-06,30,M,Daegu
20,2024-04-16,53,F,Busan
21,2024-08-11,61,F,Daejeon
22,2024-02-20,55,F,Incheon
23,2024-04-16,30,F,Daejeon
24,2024-05-13,31,F,Busan
25,2024-06-15,29,M,Incheon
26,2024-10-13,51,M,Seoul
27,2024-03-13,44,M,Busan
28,2024-07-06,29,F,Incheon
29,2024-08-04,55,F,Daegu
30,2024-01-17,53,F,Incheon
31,2024-08-09,18,M,Seoul
32,2024-03-03,43,F,Daejeon
33,2024-01-24,57,M,Daegu
34,2024-12-12,57,F,Daejeon
35,2024-12-18,38,F,Seoul
36,2024-10-22,49,M,Daegu
37,2024-04-21,42,F,Seoul
38,2024-02-05,29,M,Seoul
39,2024-09-06,42,F,Busan
40,2024-06-09,43,F,Daegu
41,2024-02-14,53,M,Busan
42,2024-06-29,33,F,Seoul
43,2024-01-13,31,M,Busan
44,2024-11-27,63,M,Daejeon
45,2024-04-04,51,M,Incheon
46,2024-08-29,41,F,Busan
47,2024-04-23,25,F,Daejeon
48,2024-07-08,44,F,Seoul
49,2024-07-18,56,M,Busan
50,2024-03-08,30,M,Busan
51,2024-12-19,46,M,Daejeon
52,2024-10-09,48,F,Seoul
53,2024-12-08,60,M,Daejeon
54,2024-11-22,36,F,Daegu
55,2024-08-06,27,M,Seoul
56,2024-12-02,60,F,Seoul
57,2024-02-02,57,F,Daejeon
58,2024-03-12,51,F,Daejeon
59,2024-01-17,63,F,Incheon
60,2024-04-28,60,M,Daejeon
61,2024-05-21,18,F,Daegu
62,2024-04-09,36,M,Daegu
63,2024-10-29,18,F,Daejeon
64,2024-05-10,41,M,Incheon
65,2024-04-12,42,M,Incheon
66,2024-07-17,21,F,Daegu
67,2024-02-21,41,M,Seoul
68,2024-10-19,56,F,Busan
69,2024-01-28,37,F,Busan
70,2024-12-26,50,M,Incheon
71,2024-10-08,45,M,Seoul
72,2024-03-13,60,M,Daegu
73,2024-01-03,62,M,Incheon
74,2024-10-24,52,F,Incheon
75,2024-09-15,41,M,Busan
76,2024-09-23,57,F,Busan
77,2024-10-08,61,F,Daejeon
78,2024-01-28,19,M,Daegu
79,2024-05-10,40,M,Seoul
80,2024-02-12,50,M,Daegu
81,2024-11-11,31,F,Daejeon
82,2024-08-15,32,F,Daegu
83,2024-04-30,49,F,Busan
84,2024-01-24,40,F,Daegu
85,2024-04-23,21,F,Seoul
86,2024-04-28,37,F,Incheon
87,2024-09-23,48,M,Seoul
88,2024-08-20,24,M,Seoul
89,2024-11-19,18,F,Busan
90,2024-06-21,22,F,Seoul
91,2024-02-13,31,F,Daejeon
92,2024-09-17,47,M,Daejeon
93,2024-10-04,55,M,Daejeon
94,2024-07-23,40,M,Daegu
95,2024-10-08,24,F,Daegu
96,2024-06-29,61,M,Daegu
97,2024-07-09,56,F,Daegu
98,2024-06-05,33,M,Seoul
99,2024-01-10,26,F,Daegu
100,2024-02-09,56,M,Busan
101,2024-01-12,63,M,Busan
102,2024-08-20,51,F,Incheon
